file_name,transcription
000031_mekdes.wav,የአስተዳደር አካላት መመሪያዎችን ሲያወጡ የህዝብን ተሳትፎ ማረጋገጥ ያለባቸው ሲሆን መመሪያው ከመጽደቁ በፊት ለውይይት መቅረብ እና የሰዎች አስተያየት መካተት እንዳለበት ህጉ ያስገድዳል ።
000109_ameha_aug1.wav,በሀገራት መካከል የሚደረጉ የኤክስትራዲሽን ወይም አሳልፎ የመስጠት ስምምነቶች ወንጀለኞች ከአንድ ሀገር ወደ ሌላ ሀገር በመሸሽ ከህግ ተጠያቂነት እንዳያመልጡ ለማድረግ የሚረዱ ሲሆን ይህም የአለም አቀፍ የፍትህ ስርአትን ለማጠናከር እና የወንጀል ድርጊቶችን ለመቀነስ የሚደረገው ጥረት አካል መሆኑን ይታወቃል ።
000136_mekdes.wav,በፋይናንስ አስተዳደር ረገድ የመንግስት መስሪያ ቤቶች የውስጥ ኦዲት ክፍል ሊኖራቸው የሚገባ ሲሆን ይህ ክፍል የመስሪያ ቤቱን የገንዘብ ወጪ እና ገቢ በየጊዜው በመቆጣጠር ህገወጥ ክፍያዎች እንዳይፈጸሙ እና የበጀት ብክነት እንዳይኖር የመከላከል ሀላፊነት ያለበት ሲሆን ግኝቱንም ለበላይ ሀላፊው እና ለዋና ኦዲተር ሪፖርት ያደርጋል ።
000088_ameha.wav,አንድ ወገን የውሉን ትክክለኛነት ካልተከራከረ እና በጊዜው የይግባኝ ጥያቄ ካላቀረበ ውሉ እንደተስማማበት ይቆጠራል።
000918_mekdes_aug1.wav,በመንግስት ሰራተኞች የደሞዝ ታክስ አዋጅ መሰረት ከአነስተኛ ደሞዝ ላይ የሚቀነሰው የታክስ መጠን ዝቅተኛ ሲሆን ደሞዙ እየጨመረ በሄደ ቁጥር ግን የታክስ መጠኑም በዚያው ልክ እየጨመረ የሚሄድ ሲሆን ይህም በዝቅተኛ ገቢ የሚተዳደሩ ዜጎችን ኑሮ ለማቃለል እና የገቢ ስርጭቱን ሚዛናዊ ለማድረግ ታስቦ የተቀረጸ የፍትሃዊ የታክስ ፖሊሲ አካል ነው ።
001025_gtts_aug1.wav,አንድ አገር ከአለም አቀፍ የኢንዱስትሪ ልማት ድርጅት ጋር ባላት ስምምነት መሰረት የማምረቻ ዘርፍዋን ለማሳደግ የሚያስችሉ ፖሊሲዎችን የመቅረጽ እና ለአነስተኛ እና መካከለኛ ኢንተርፕራይዞች የቴክኒክ ድጋፍ የማድረግ ግዴታ ያለባት ሲሆን ድርጅቱም የኢንቨስትመንት ፍሰትን ለማሳደግ የሚያስችሉ ስራዎችን በጋራ የመስራት ሀላፊነት አለበት ።
000870_ameha.wav,የህዝብ አገልግሎት አቅርቦት ግልጽነት እና ፍትሃዊነት የጎደለው ከሆነ ቅሬታ አቅራቢዎች ወደ አስተዳደር ፍርድ ቤቶች በመሄድ መፍትሄ ማግኘት ይችላሉ።
000318_mekdes.wav,የወንጀል ድርጊት ከተፈጸመ በኋላ ማስረጃዎችን የማጥፋት ወይም የመደበቅ ሙከራ በራሱ አዲስ ወንጀል ያስከትላል።
000261_ameha.wav,የንብረት ግዥ ስምምነት ህጋዊ እንዲሆን የንብረቱን ግልጽ መግለጫ የግዢውን ዋጋ እና የሁለት ምስክሮችን ፊርማ መያዝ አለበት ከዚህ በተጨማሪ በህግ በተፈቀደ አካል መመዝገብ አለበት።
000535_mekdes_aug1.wav,የንግድ ስራን ለማቆም የሚከተሉትን ተግባራት ማከናወን ያስፈልጋል አንደኛ ለንግድ ሚኒስቴር ማሳወቅ ሁለተኛ የታክስ ክሊራንስ ማግኘት ሶስተኛ የንግድ ፈቃዱን መመለስ እና አራተኛ ማስታወቂያ በጋዜጣ ማውጣት ናቸው ።
000919_gtts.wav,የንግድ ውል ላይ የተቀመጠው የጊዜ ገደብ ካለፈ በኋላ ግዴታውን የሚወጣ ወገን ለሌላኛው ወገን በዘገየበት ጊዜ ምክንያት ለደረሰው ጉዳት ካሳ የመክፈል ግዴታ ያለበት ሲሆን ይህም በውሉ ላይ አስቀድሞ መወሰን አለበት ።
000596_ameha_aug1.wav,የፍትህ መርህ ማለት የመንግስት አካላት ውሳኔዎቻቸውን ፍትሃዊ በሆነ መልኩ መስጠት አለባቸው ማለት ነው።
000076_ameha.wav,የህገመንግስታዊ ስርአቱ ዋስትና ህግ አውጪው አስፈጻሚው እና የፍትህ አካላት የየራሳቸውን ሚና በሀቀኝነት ሲወጡ ነው።
000107_mekdes_aug1.wav,የታክስ ባለስልጣኑ አንድን ግብር ከፋይ በግምት ግብር ሲጥልበት ግብር ከፋዩ ውሳኔውን በመቃወም የራሱን የሂሳብ መዝገብ እና ደጋፊ ሰነዶች ማቅረብ የሚችል ሲሆን ባለስልጣኑም የቀረቡትን ሰነዶች መርምሮ የጣለውን የግምት ግብር ሊያነሳ ወይም ሊያሻሽል የሚችል ቢሆንም ሰነዶቹ ግን በህጋዊ ኦዲተር የተረጋገጡ መሆን እንዳለባቸው በህጉ ተቀምጥዋል ።
000424_ameha_aug1.wav,የባለእዳው የመክፈል ግዴታ የንግድ ስምምነቶችን ታማኝነት ለማረጋገጥ መሰረታዊ የህግ መርህ ነው።
000584_gtts.wav,የሃይል ማመንጫ ፕሮጀክት ሲፈቀድ የአካባቢ ተጽእኖ ግምገማው በብቃት ባለሙያዎች መከናወን አለበት እና ውጤቱ ለህዝብ ግልጽ መሆን አለበት።
