file_name,transcription,domain_num,domain_name,voice,duration
legal_000000_mekdes.mp3,ይህ የውል ስምምነት በሁለት ሺህ አስራ አምስት አመተ ምህረት ጥር ወር አስራ ሁለት ቀን በአዲስ አበባ ከተማ ተፈረመ።,1,Contracts and Commercial Law,mekdes,6.624
legal_000001_mekdes.mp3,የአከራካሪ ጉዳዮች የዳኝነት ስልጣን ለአዲስ አበባ ከተማ ፍርድ ቤቶች ብቻ የሚሰጥ ከሆነ የውሉ ተፈጻሚነት ሙሉ ነው።,1,Contracts and Commercial Law,mekdes,7.344
legal_000002_mekdes.mp3,በዚህ ስምምነት የሁለቱ ወገኖች የጋራ ፍላጎትና የንግድ ሚስጥሮች በጥንቃቄ እንዲጠበቁ በግልጽ ተቀምጥዋል።,1,Contracts and Commercial Law,mekdes,6.84
legal_000003_mekdes.mp3,ማንኛውም ወገን የውል ግዴታውን ካልተወጣ ሌላኛው ወገን የካሳ ጥያቄ የማቅረብ መብት አለው።,1,Contracts and Commercial Law,mekdes,5.616
legal_000004_mekdes.mp3,የውሉ ማሻሻያ የሚፈጸመው በጽሁፍ ሲሆን በሁለቱም ወገኖች በተፈረመ ተጨማሪ ሰነድ ነው እንጂ በቃል አይደለም።,1,Contracts and Commercial Law,mekdes,6.816
legal_000005_mekdes.mp3,ይህ ውል በተፈረመ በአስር የስራ ቀናት ውስጥ የመጀመሪያ ክፍያ ካልተፈጸመ ውሉ ባዶ ይሆናል።,1,Contracts and Commercial Law,mekdes,5.832
legal_000006_mekdes.mp3,የአቅም ማነስ ወይም የግዳጅ ክስተት ካልተከሰተ በስተቀር የውል አፈጻጸም መዘግየት ተቀባይነት የለውም።,1,Contracts and Commercial Law,mekdes,6.312
legal_000007_mekdes.mp3,የአገልግሎት አቅራቢው በሰላሳ ቀናት ውስጥ የተምዋላ ሪፖርት ካላቀረበ ውሉ እንዲሰረዝ ሊጠየቅ ይችላል።,1,Contracts and Commercial Law,mekdes,6.456
legal_000008_mekdes.mp3,የዋስትናው ጊዜ ካለፈ በኋላ ምንም አይነት የጥገና ጥያቄ ተቀባይነት አይኖረውም ይህ ካልሆነ በስተቀር።,1,Contracts and Commercial Law,mekdes,6.432
legal_000009_mekdes.mp3,ገዢው የሽያጩን ዋጋ በአርባ አምስት ቀናት ውስጥ ካልከፈለ ሻጩ እቃውን የመመለስ መብት አለው።,1,Contracts and Commercial Law,mekdes,5.808
legal_000010_mekdes.mp3,ተዋዋይ ወገኖች የንግድ ሚስጥሮችን የማያጋልጡ ከሆነ የመረጃ ጥበቃ አንቀጽ ሙሉ በሙሉ ተግባራዊ ይሆናል።,1,Contracts and Commercial Law,mekdes,6.312
legal_000011_mekdes.mp3,አቅራቢው በውሉ የተገለጹትን መስፈርቶች ካላምዋላ ገዢው እቃውን የመመለስና ገንዘቡን የመጠየቅ መብት ይኖረዋል።,1,Contracts and Commercial Law,mekdes,6.864
legal_000012_mekdes.mp3,የተከራየው ንብረት የጥገና ወጪ በአከራዩ ካልተሸፈነ ተከራዩ የቤት ኪራይ ክፍያውን ሊያዘገይ ይችላል።,1,Contracts and Commercial Law,mekdes,6.336
legal_000013_mekdes.mp3,ማንኛውም የውል ጥሰት ከተከሰተ እና በሃያ አንድ ቀናት ውስጥ ካልተስተካከለ ውሉ ሊቋረጥ ይችላል።,1,Contracts and Commercial Law,mekdes,5.976
legal_000014_mekdes.mp3,የኩባንያው የፋይናንስ ሁኔታ ካልተሻሻለ በስድስት ወራት ውስጥ ተጨማሪ ካፒታል የማፍሰስ ግዴታ ይኖርበታል።,1,Contracts and Commercial Law,mekdes,6.792
legal_000015_mekdes.mp3,ይህንን አንቀጽ መሰረት በማድረግ ለውል መጣስ የተስማማው የኪሳራ ካሳ ሁለት ሺህ ብር ይሆናል።,1,Contracts and Commercial Law,mekdes,5.856
legal_000016_mekdes.mp3,የተቀማጭ ገንዘብ ማለት በውል መጀመሪያ የሚከፈል እና ከውሉ መቋረጥ ጋር የማይመለስ ክፍያ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.384
legal_000017_mekdes.mp3,የንግድ ምልክት ጥሰት ማለት ያለ ፈቃድ የሌላውን የንግድ ምልክት መጠቀም ወይም መኮረጅ ማለት ነው።,1,Contracts and Commercial Law,mekdes,5.832
legal_000018_mekdes.mp3,የግዳጅ ክስተት ማለት የጎርፍ መጥለቅለቅ የመሬት መንቀጥቀጥ ወይም ጦርነት የመሳሰሉ ያልተጠበቁ ክስተቶች ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.768
legal_000019_mekdes.mp3,የሽምግልና ስምምነት ማለት በክርክር ውስጥ ያሉ ወገኖች ጉዳያቸውን በፍርድ ቤት ሳይሆን በሽማግሌ እንዲፈታ ያደረጉት ስምምነት ማለት ነው።,1,Contracts and Commercial Law,mekdes,8.328
legal_000020_mekdes.mp3,የውል ማሻሻያ ማለት በሁለት ወገኖች መካከል ቀደም ሲል የተደረገን ስምምነት በከፊል መለወጥ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.384
legal_000021_mekdes.mp3,የዋስትና ማረጋገጫ ማለት ምርት ወይም አገልግሎት በውሉ ከተገለጸው መስፈርት ጋር የሚጣጣምበት ማረጋገጫ ማለት ነው።,1,Contracts and Commercial Law,mekdes,7.032
legal_000022_mekdes.mp3,የአፈጻጸም ዋስትና ማለት አንድ ወገን በውሉ የተጣለበትን ግዴታ በትክክል እንደሚፈጽም የሚያረጋግጥ ሰነድ ማለት ነው።,1,Contracts and Commercial Law,mekdes,7.128
legal_000023_mekdes.mp3,የመብት ማስተላለፍ ማለት በውሉ መሰረት የአንድን ወገን መብቶች ለሌላ ወገን ህጋዊ በሆነ መንገድ መስጠት ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.984
legal_000024_mekdes.mp3,የንግድ ሚስጥር ማለት የኩባንያን የንግድ እንቅስቃሴ የሚጠቅም እና ከውድድር የሚያግዝ ሚስጥራዊ መረጃ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.816
legal_000025_mekdes.mp3,የውል ፍጻሜ ማለት በሁለቱም ወገኖች የውል ግዴታዎች ሙሉ በሙሉ ከተፈጸሙ በኋላ የሚከሰት ሁኔታ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.744
legal_000026_mekdes.mp3,የተስማማ የኪሳራ ካሳ ማለት የውል መጣስ ሲከሰት አስቀድሞ ስምምነት የተደረሰበት የካሳ መጠን ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.912
legal_000027_mekdes.mp3,የውል ባዶነት ማለት ከጅምሩ ህጋዊ ያልሆነና ሊተገበር የማይችል ስምምነት ማለት ነው።,1,Contracts and Commercial Law,mekdes,5.592
legal_000028_mekdes.mp3,የውል መቋረጥ ማለት በሁለቱም ወገኖች ስምምነት ወይም በአንደኛው ወገን ጥያቄ ውሉን ማብቃት ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.264
legal_000029_mekdes.mp3,የውል መተላለፍ ማለት አንደኛው ወገን በውሉ የተጣለበትን ግዴታ ሙሉ በሙሉ ወይም በከፊል አለመፈጸሙ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.864
legal_000030_mekdes.mp3,የወጪ ንግድ ፈቃድ ማለት አንድ ኩባንያ ምርቶችን ከአገር ወደ ውጭ እንዲልክ የሚሰጠው ህጋዊ ፈቃድ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.6
legal_000031_mekdes.mp3,የአገልግሎት ስምምነት ማለት አንድ ወገን ለሌላው ወገን አገልግሎት ለመስጠት የሚያደርገው ውል ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.144
legal_000032_mekdes.mp3,የጉዳት ካሳ ማለት የውል መጣስ ወይም ህገ ወጥ ድርጊት በደረሰው ጉዳት ምክንያት የሚሰጥ ካሳ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.36
legal_000033_mekdes.mp3,የመብቶች ሽግግር ማለት የአንድ ወገን መብት ወደ ሌላ ወገን ህጋዊ በሆነ መንገድ መዘዋወር ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.024
legal_000034_mekdes.mp3,የውል ስምምነት ማለት በሁለት ወይም ከዚያ በላይ ወገኖች መካከል ህጋዊ አስገዳጅ የሆነ ስምምነት ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.552
legal_000035_mekdes.mp3,የባለአክሲዮኖች ስምምነት ማለት የአክሲዮን ባለቤቶች መብትና ግዴታዎችን የሚገልጽ የውስጥ ውል ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.336
legal_000036_mekdes.mp3,የሽያጭ ውል ማለት ሻጭ እቃውን ለገዢ የሚያስተላልፍበት እና ገዢው ዋጋውን የሚከፍልበት ስምምነት ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.504
legal_000037_mekdes.mp3,የፍቃድ ስምምነት ማለት የአንድን ንብረት ወይም መብት ለመጠቀም ህጋዊ ፈቃድ የሚሰጥ ውል ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.192
legal_000038_mekdes.mp3,የምርት ጥራት ደረጃ ማለት አንድ ምርት ሊያምዋላቸው የሚገቡ ዝቅተኛ መስፈርቶች ስብስብ ማለት ነው።,1,Contracts and Commercial Law,mekdes,6.072
legal_000039_mekdes.mp3,የአይፒአር ጥበቃ ማለት የአእምርዋዊ ንብረት መብቶችን ከጥሰት የመከላከል ሂደት ማለት ነው።,1,Contracts and Commercial Law,mekdes,5.52
legal_000040_mekdes.mp3,የተከፈለ ክፍያ ማለት በውሉ መሰረት አስቀድሞ የተፈጸመ ክፍያ ማለት ነው።,1,Contracts and Commercial Law,mekdes,5.064
legal_000041_mekdes.mp3,የውል ስምምነት አፈጻጸም ሂደት የሚጀምረው የተፈረመው ውል ከጸደቀ በኋላ ወዲያውኑ ነው።,1,Contracts and Commercial Law,mekdes,5.688
legal_000042_mekdes.mp3,የዋስትና ሰጪው ግዴታ የሚነሳው ዋናው ተበዳሪ እዳውን መክፈል ሲያቅተው ብቻ ነው።,1,Contracts and Commercial Law,mekdes,5.376
legal_000043_mekdes.mp3,አንድ ወገን የውል ግዴታውን ሲጥስ ተጎጂው ወገን በመጀመሪያ የጽሁፍ ማስታወቂያ መስጠት አለበት።,1,Contracts and Commercial Law,mekdes,5.808
legal_000044_mekdes.mp3,የኩባንያው ቦርድ በሰባት ቀናት ውስጥ የውሳኔ ሀሳብ ካላጸደቀ ፕሮጀክቱ ሊሰረዝ ይችላል።,1,Contracts and Commercial Law,mekdes,5.784
legal_000045_mekdes.mp3,ማንኛውም የክፍያ መዘግየት ከተከሰተ የአንድ በመቶ ቅጣት በወለድ እንዲከፈል ይደረጋል።,1,Contracts and Commercial Law,mekdes,5.64
legal_000046_mekdes.mp3,የይግባኝ ጥያቄ የሚቀርበው የፍርድ ቤት ውሳኔ ከተሰጠ በአስራ አምስት ቀናት ውስጥ ሲሆን ከዚያ በኋላ አይሆንም።,1,Contracts and Commercial Law,mekdes,6.552
legal_000047_mekdes.mp3,የሽያጭ ውሉን ለማጽደቅ ገዢው በሰባ ሁለት ሰአታት ውስጥ የመጀመሪያውን ክፍያ መፈጸም አለበት።,1,Contracts and Commercial Law,mekdes,6.0
legal_000048_mekdes.mp3,ተከራዩ የቤት ኪራዩን በወቅቱ ካልከፈለ አከራዩ ውሉን የማቋረጥ መብት ይኖረዋል።,1,Contracts and Commercial Law,mekdes,5.04
legal_000049_mekdes.mp3,የተገዛው ምርት ከተበላሸ ደንበኛው በሰላሳ ቀናት ውስጥ ለሻጩ የማሳወቅ ግዴታ አለበት።,1,Contracts and Commercial Law,mekdes,5.712
legal_000050_mekdes.mp3,ማንኛውም የውል ክርክር የሚነሳ ከሆነ በሰላሳ ቀናት ውስጥ በሽምግልና መፍታት ግዴታ ነው።,1,Contracts and Commercial Law,mekdes,5.832
legal_000051_mekdes.mp3,የአገልግሎት አቅራቢው የሰዎችን መረጃ ካጋለጠ የውል ስምምነቱ ወዲያውኑ ይሰረዛል።,1,Contracts and Commercial Law,mekdes,5.448
legal_000052_mekdes.mp3,የአቅም ማነስ ምክንያት ከተከሰተ ውሉ ባዶ እንደሚሆን ነገር ግን የቅድሚያ ክፍያ አይመለስም።,1,Contracts and Commercial Law,mekdes,5.664
legal_000053_mekdes.mp3,የአክሲዮን ሽያጭ ውል የሚጸናው የሁለቱም ወገኖች የዳይሬክተሮች ቦርድ ፈቃድ ሲሰጥ ነው።,1,Contracts and Commercial Law,mekdes,5.352
legal_000054_mekdes.mp3,ይህንን አንቀጽ መሰረት በማድረግ ማሻሻያዎች የሚደረጉት በሁለቱም ወገኖች የጽሁፍ ስምምነት ሲሆን ብቻ ነው።,1,Contracts and Commercial Law,mekdes,6.792
