file_name,audio_path,transcription,domain,voice,transcription_romanized,inference_time,mcd,f0_rmse,f0_correlation,duration_ratio
000719_mekdes.wav,Dataset_4.0h/audio/000719_mekdes.wav,የንግድ ምልክት ዝውውር ህጋዊ ውጤት የሚኖረው በንግድ መዝገብ ውስጥ ሲመዘገብ ብቻ ሲሆን ዝውውሩ የተደረገው በሽያጭ ወይም በስጦታ መሆኑ በውሉ ላይ በግልጽ መቀመጥ እና በሁለቱ ወገኖች ፊርማ ተረጋግጦ ለሚመለከተው አካል መቅረብ አለበት ።,Unknown,Unknown,yanegede melekete zewewere hegaawi weteete yaminorawe banegede mazegabe wesete simazagabe bechaa sihone zeweweru yatadaragawe basheyaache wayeme basetotaa mahonu bawelu laaye bageletse maqamate enaa bahulatu waganoche firemaa taragaageto lamimalakatawe akaale maqerabe alabate .,0.0013179779052734375,,,,
000724_mekdes.wav,Dataset_4.0h/audio/000724_mekdes.wav,በዚህ የድንበር ስምምነት መሰረት ሁለቱም ሀገራት የየራሳቸውን የግዛት አንድነት ለማክበር የተስማሙ ሲሆን በድንበር አካባቢ የሚነሱ ማናቸውም አለመግባባቶች በጋራ የድንበር ኮሚሽን አማካኝነት በሰላማዊ ውይይት እንዲፈቱ በህግ ግዴታ ገብተዋል ።,Unknown,Unknown,bazihe yadenebare sememenate masarate hulatume hagaraate yayaraasaachawene yagezaate anedenate lamaakebare yatasemaamu sihone badenebare akaabaabi yaminasu maanaachaweme alamagebaabaatoche bagaaraa yadenebare komishene amaakaanyenate basalaamaawi weyeyete enedifatu bahege gedeetaa gabetawaale .,0.001233816146850586,,,,
000295_ameha.wav,Dataset_4.0h/audio/000295_ameha.wav,ማንኛውም ህዝባዊ ምርጫ በፍትሃዊነት እና በነጻነት የሚካሄድ መሆኑን የማረጋገጥ ህገመንግስታዊ ግዴታ በምርጫ ቦርድ ላይ ተጥልዋል።,Unknown,Unknown,maanenyaaweme hezebaawi merechaa bafetehaawinate enaa banatsaanate yamikaaheede mahonune yamaaragaagate hegamanegesetaawi gedeetaa bamerechaa borede laaye tatelewaale.,0.0007600784301757812,,,,
000701_gtts_aug1.wav,Dataset_4.0h/audio/000701_gtts_aug1.wav,የንግድ ማህበር ስራ አስኪያጅ በጤና እክል ወይም በሌላ በቂ ምክንያት ስራውን ማከናወን ካልቻለ የዳይሬክተሮች ቦርድ ጊዜያዊ ስራ አስኪያጅ የመሾም ስልጣን ያለው ሲሆን ይህ ሹመትም ለሚቀጥለው ጠቅላላ ጉባኤ ቀርቦ መጽደቅ አለበት ።,Unknown,Unknown,yanegede maahebare seraa asekiyaaje bateenaa ekele wayeme baleelaa baqi mekeneyaate seraawene maakanaawane kaalechaala yadaayereeketaroche borede gizeeyaawi seraa asekiyaaje yamashome seletaane yaalawe sihone yehe shumateme lamiqatelawe taqelaalaa gubaaee qarebo matsedaqe alabate .,0.0013310909271240234,,,,
000251_ameha_aug1.wav,Dataset_4.0h/audio/000251_ameha_aug1.wav,በወንጀል ህግ መሰረት ጥፋተኛ ተብሎ የተወሰነበት ሰው የቅጣት ውሳኔው ከጸና በኋላ ይግባኝ የመጠየቅ መብቱ የተጠበቀ ቢሆንም ይግባኙን ማቅረብ ያለበት የቅጣት ውሳኔው በተሰጠ በስልሳ ቀናት ውስጥ መሆን እንዳለበት የሰነ ሰርአት ህጉ ያስረዳል ።,Unknown,Unknown,bawanejale hege masarate tefaatanyaa tabelo yatawasanabate sawe yaqetaate wesaaneewe katsanaa baxwaalaa yegebaanye yamatayaqe mabetu yatatabaqa bihoneme yegebaanyune maaqerabe yaalabate yaqetaate wesaaneewe batasata baselesaa qanaate wesete mahone enedaalabate yasana sareate hegu yaaseradaale .,0.0012280941009521484,,,,
000726_ameha.wav,Dataset_4.0h/audio/000726_ameha.wav,የፍርድ ቤት ክፍያዎች የሚከተሉትን ያጠቃልላሉ አንደኛ የክስ መክፈቻ ክፍያ ሁለተኛ የሰነድ ቅጂ ክፍያ ሶስተኛ የይግባኝ ክፍያ እና አራተኛ የአስፈጻሚ ክፍያ ሲሆኑ እያንዳንዳቸው በህግ የተወሰኑ ናቸው።,Unknown,Unknown,yaferede beete kefeyaawoche yamikatalutene yaataqaalelaalu anedanyaa yakese makefachaa kefeyaa hulatanyaa yasanade qeji kefeyaa sosetanyaa yayegebaanye kefeyaa enaa araatanyaa yaasefatsaami kefeyaa sihonu eyaanedaanedaachawe bahege yatawasanu naachawe.,0.0010428428649902344,,,,
000461_mekdes.wav,Dataset_4.0h/audio/000461_mekdes.wav,የንግድ ስም ማስታወቂያ በጋዜጣ የሚወጣው ሶስተኛ ወገኖች ተቃውሞ ካላቸው እንዲያቀርቡ ለማስቻል ሲሆን ተቃውሞው በአስራ አምስት ቀናት ውስጥ ካልቀረበ መዝጋቢው አካል የንግድ ስሙን መዝግቦ የምስክር ወረቀት ለባለቤቱ ይሰጣል ።,Unknown,Unknown,yanegede seme maasetaawaqiyaa bagaazeetaa yamiwataawe sosetanyaa waganoche taqaawemo kaalaachawe enediyaaqarebu lamaasechaale sihone taqaawemowe baaseraa amesete qanaate wesete kaaleqaraba mazegaabiwe akaale yanegede semune mazegebo yamesekere waraqate labaalabeetu yesataale .,0.0011420249938964844,,,,
000455_mekdes_aug1.wav,Dataset_4.0h/audio/000455_mekdes_aug1.wav,የታክስ አስተዳደር አዋጅ ቁጥር ዘጠኝ መቶ ሰባ አምስት አንቀጽ ሁለት መቶ አራት አስር አራት እንደሚያመለክተው ማንኛውም ግብር ከፋይ የታክስ ባለስልጣኑ የሰጠውን የታክስ ውሳኔ በመቃወም ለከፍተኛ ፍርድ ቤት ይግባኝ ሲያቀርብ ፍርድ ቤቱ ጉዳዩን መርምሮ የመጨረሻ ውሳኔ እስኪሰጥ ድረስ ግብር ከፋዩ ግብሩን የመክፈል ግዴታው ለጊዜው ታግዶ ሊቆይ ይችላል ።,Unknown,Unknown,yataakese asetadaadare awaaje qutere zatanye mato sabaa amesete aneqatse hulate mato araate asere araate enedamiyaamalaketawe maanenyaaweme gebere kafaaye yataakese baalaseletaanu yasatawene yataakese wesaanee bamaqaawame lakafetanyaa ferede beete yegebaanye siyaaqarebe ferede beetu gudaayune maremero yamacharashaa wesaanee esekisate derase gebere kafaayu geberune yamakefale gedeetaawe lagizeewe taagedo liqoye yechelaale .,0.0017681121826171875,,,,
000270_mekdes.wav,Dataset_4.0h/audio/000270_mekdes.wav,አንድ የፍርድ ቤት ትእዛዝ በግልጽ ካልተጻፈ ወይም አፈጻጸሙ ግልጽ ካልሆነ የሚመለከተው አካል ከፍርድ ቤቱ ተጨማሪ ማብራሪያ የመጠየቅ መብት ይኖረዋል።,Unknown,Unknown,anede yaferede beete teezaaze bageletse kaaletatsaafa wayeme afatsaatsamu geletse kaalehona yamimalakatawe akaale kaferede beetu tachamaari maaberaariyaa yamatayaqe mabete yenorawaale.,0.0010349750518798828,,,,
000815_ameha_aug1.wav,Dataset_4.0h/audio/000815_ameha_aug1.wav,የመጥሪያ ወረቀት ማለት ተከሳሹ ለፍርድ ቤት እንዲቀርብ የሚያዝ የጽሁፍ ትእዛዝ ሲሆን ይህም የህግ ሂደቱን ለመጀመር ያገለግላል።,Unknown,Unknown,yamateriyaa waraqate maalate takasaashu laferede beete enediqarebe yamiyaaze yatsehufe teezaaze sihone yeheme yahege hidatune lamajamare yaagalagelaale.,0.0007948875427246094,,,,
